epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,32063.7,0.92008,0.62865,0.91709,0.60209,0.42049,0.46618,0.29462,1.07195,0.8279,0.98447,0.0002971,0.0002971,0.0002971
73,32492.9,0.92505,0.63236,0.91746,0.63121,0.40941,0.46486,0.29289,1.06843,0.82703,0.98415,0.0002872,0.0002872,0.0002872
74,32935.6,0.91701,0.62365,0.9165,0.58189,0.42494,0.46018,0.28914,1.08023,0.84312,0.99054,0.0002773,0.0002773,0.0002773
75,33375.8,0.91911,0.62326,0.91594,0.59555,0.41604,0.45724,0.28824,1.0731,0.8379,0.98731,0.0002674,0.0002674,0.0002674
76,33812.9,0.91507,0.62194,0.91344,0.60232,0.41392,0.46204,0.29295,1.06748,0.83361,0.98471,0.0002575,0.0002575,0.0002575
77,34264.7,0.91464,0.621,0.91522,0.60994,0.41362,0.46019,0.29051,1.07351,0.84073,0.98778,0.0002476,0.0002476,0.0002476
78,34715.6,0.91199,0.61949,0.91564,0.59081,0.42182,0.46313,0.29287,1.06681,0.83096,0.98582,0.0002377,0.0002377,0.0002377
79,35166.4,0.90305,0.61272,0.91144,0.62237,0.41791,0.46578,0.29395,1.0727,0.82839,0.99025,0.0002278,0.0002278,0.0002278
80,35615.2,0.90582,0.61188,0.90949,0.59548,0.42088,0.46673,0.29507,1.07015,0.82907,0.98731,0.0002179,0.0002179,0.0002179
81,36060.8,0.8995,0.6095,0.90932,0.59889,0.42295,0.46896,0.29734,1.06882,0.82619,0.98485,0.000208,0.000208,0.000208
82,36488.6,0.90033,0.60786,0.90844,0.59526,0.42747,0.46974,0.29836,1.07091,0.82194,0.98763,0.0001981,0.0001981,0.0001981
83,36930.1,0.90065,0.60872,0.90937,0.57512,0.43955,0.46996,0.29898,1.06718,0.82298,0.98585,0.0001882,0.0001882,0.0001882
84,37364.5,0.8951,0.603,0.90764,0.58662,0.42425,0.46727,0.29564,1.07233,0.82658,0.9903,0.0001783,0.0001783,0.0001783
85,37810.2,0.89522,0.60467,0.90809,0.58603,0.42294,0.46156,0.29186,1.06994,0.82639,0.98698,0.0001684,0.0001684,0.0001684
86,38260.8,0.89809,0.60284,0.9094,0.61958,0.41919,0.46912,0.29652,1.07043,0.81997,0.98733,0.0001585,0.0001585,0.0001585
87,38711.4,0.89382,0.602,0.90875,0.61253,0.42209,0.46727,0.29468,1.07111,0.82256,0.98785,0.0001486,0.0001486,0.0001486
88,39162.4,0.88668,0.59578,0.90299,0.64584,0.40755,0.46638,0.2945,1.07047,0.82281,0.98725,0.0001387,0.0001387,0.0001387
89,39613.6,0.88944,0.59633,0.90576,0.60815,0.41367,0.46241,0.2917,1.07269,0.83154,0.98885,0.0001288,0.0001288,0.0001288
90,40051.8,0.88076,0.58942,0.90435,0.60492,0.4201,0.4647,0.29282,1.07468,0.8321,0.98993,0.0001189,0.0001189,0.0001189
91,40524.3,0.89363,0.58744,0.90028,0.59858,0.41347,0.4552,0.28723,1.08859,0.83603,0.99633,0.000109,0.000109,0.000109
92,40956.5,0.88177,0.57188,0.89718,0.60397,0.41716,0.45863,0.28897,1.08853,0.83673,0.99699,9.91e-05,9.91e-05,9.91e-05
93,41385.9,0.87405,0.56799,0.89456,0.60627,0.40856,0.45587,0.28855,1.0889,0.83919,0.99676,8.92e-05,8.92e-05,8.92e-05
94,41820.8,0.87358,0.56591,0.89347,0.62162,0.40542,0.45964,0.29037,1.08714,0.83179,0.9959,7.93e-05,7.93e-05,7.93e-05
95,42265.9,0.86991,0.56255,0.89231,0.60038,0.41193,0.4574,0.28852,1.08775,0.83537,0.9958,6.94e-05,6.94e-05,6.94e-05
96,42710,0.86951,0.56344,0.89352,0.59514,0.42262,0.46263,0.29142,1.08454,0.82736,0.9943,5.95e-05,5.95e-05,5.95e-05
97,43154,0.86544,0.55862,0.89182,0.60313,0.42125,0.46051,0.28997,1.08719,0.83234,0.99528,4.96e-05,4.96e-05,4.96e-05
98,43595.8,0.86195,0.55644,0.89154,0.58743,0.42011,0.46012,0.28989,1.08491,0.83103,0.99571,3.97e-05,3.97e-05,3.97e-05
99,44015.3,0.86075,0.55316,0.88907,0.58504,0.42022,0.45892,0.28922,1.08495,0.83181,0.996,2.98e-05,2.98e-05,2.98e-05
100,44447.4,0.85607,0.55023,0.8898,0.58382,0.42377,0.45897,0.28924,1.08457,0.83158,0.99579,1.99e-05,1.99e-05,1.99e-05
