epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,28289.1,0.85067,0.56118,0.89873,0.66734,0.47229,0.52885,0.34682,0.9967,0.75015,0.97198,0.0004456,0.0004456,0.0004456
58,28805.7,0.83667,0.55303,0.89666,0.65549,0.47623,0.53076,0.35003,0.99254,0.74928,0.96975,0.0004357,0.0004357,0.0004357
59,29333.6,0.84189,0.54943,0.89772,0.64214,0.47651,0.52504,0.34211,0.99788,0.75359,0.96866,0.0004258,0.0004258,0.0004258
60,29826.9,0.83736,0.55109,0.89436,0.67824,0.46367,0.53226,0.34945,0.99844,0.75448,0.96517,0.0004159,0.0004159,0.0004159
61,30318,0.83622,0.54768,0.89407,0.65834,0.4706,0.52026,0.3416,1.00138,0.75585,0.97081,0.000406,0.000406,0.000406
62,30810.3,0.83149,0.54468,0.89301,0.64798,0.47761,0.52436,0.34589,1.00009,0.75163,0.9717,0.0003961,0.0003961,0.0003961
63,31302.1,0.83042,0.54136,0.89248,0.66695,0.47072,0.52628,0.34671,0.99482,0.74962,0.97008,0.0003862,0.0003862,0.0003862
64,31794.6,0.82397,0.53667,0.8895,0.69405,0.4657,0.53144,0.3494,0.99349,0.75172,0.96975,0.0003763,0.0003763,0.0003763
65,32307.4,0.82046,0.53595,0.88876,0.69323,0.46554,0.52884,0.34842,0.98957,0.74494,0.96811,0.0003664,0.0003664,0.0003664
66,32820.2,0.82317,0.53316,0.88803,0.64773,0.47657,0.52732,0.34867,0.99598,0.74989,0.97085,0.0003565,0.0003565,0.0003565
67,33345.1,0.81999,0.53169,0.88979,0.69989,0.47235,0.54045,0.35555,0.98974,0.73729,0.96921,0.0003466,0.0003466,0.0003466
68,33837.2,0.81255,0.52561,0.88767,0.6748,0.48058,0.53762,0.35399,0.9874,0.73712,0.97037,0.0003367,0.0003367,0.0003367
69,34329.1,0.81243,0.52383,0.8884,0.66232,0.47058,0.52919,0.34776,0.99108,0.74936,0.96698,0.0003268,0.0003268,0.0003268
70,34819.4,0.804,0.52024,0.88471,0.63902,0.48581,0.52993,0.34894,0.99838,0.75076,0.97258,0.0003169,0.0003169,0.0003169
71,35311.9,0.80663,0.52068,0.88532,0.66258,0.48321,0.53539,0.35258,0.98848,0.74084,0.97025,0.000307,0.000307,0.000307
72,35804.9,0.80199,0.51544,0.8827,0.68693,0.46695,0.53417,0.35101,0.99113,0.7453,0.96992,0.0002971,0.0002971,0.0002971
73,36321.9,0.8073,0.51637,0.88431,0.65306,0.48126,0.5309,0.34987,0.98939,0.75068,0.9684,0.0002872,0.0002872,0.0002872
74,36843.3,0.80017,0.51384,0.88309,0.64974,0.48282,0.5282,0.34876,1.00041,0.75927,0.97889,0.0002773,0.0002773,0.0002773
75,37357,0.80205,0.51303,0.88287,0.68011,0.47373,0.5342,0.35209,0.98692,0.75863,0.97014,0.0002674,0.0002674,0.0002674
76,37848.5,0.79563,0.50812,0.87923,0.68622,0.46895,0.5312,0.35009,0.99335,0.75028,0.97153,0.0002575,0.0002575,0.0002575
77,38340.6,0.79676,0.5072,0.88172,0.69698,0.46258,0.53095,0.34863,1.00016,0.75653,0.97385,0.0002476,0.0002476,0.0002476
78,38833.2,0.79323,0.5068,0.88101,0.66486,0.47818,0.52915,0.34843,0.99077,0.75418,0.97083,0.0002377,0.0002377,0.0002377
79,39323.9,0.78858,0.50166,0.87789,0.65734,0.47789,0.53013,0.34881,0.99373,0.75202,0.97224,0.0002278,0.0002278,0.0002278
80,39822.7,0.78676,0.49851,0.8767,0.68384,0.47191,0.53561,0.35265,0.98978,0.74868,0.97099,0.0002179,0.0002179,0.0002179
81,40340.6,0.78065,0.49566,0.87642,0.70874,0.46369,0.53573,0.35329,0.98712,0.74436,0.97114,0.000208,0.000208,0.000208
82,40837.5,0.77949,0.49359,0.8747,0.6756,0.47842,0.53633,0.35515,0.98939,0.74957,0.9702,0.0001981,0.0001981,0.0001981
83,41366.5,0.78278,0.49429,0.87594,0.68109,0.47002,0.5336,0.35296,0.98718,0.74884,0.9695,0.0001882,0.0001882,0.0001882
84,41857.2,0.77715,0.49084,0.8739,0.70233,0.46703,0.53477,0.35279,0.9881,0.74553,0.97043,0.0001783,0.0001783,0.0001783
